名字,组成
真武汤,"['茯苓', '白芍', '白术', '生姜', '炮附子']"
生肌散,"['石膏', '轻粉', '赤石脂', '黄丹', '龙骨', '血竭', '乳香', '樟脑']"
黑虎丹,"['灵磁石', '母丁香', '公丁香', '全蝎只约', '僵蚕只约', '炙甲片', '炙蜈蚣', '蜘蛛只', '麝香', '牛黄', '冰片']"
密陀僧散,"['雄黄', '硫黄', '蛇床子', '密陀僧', '石黄', '轻粉']"
三品一条枪,"['明矾', '砒石', '雄黄', '乳香']"
五倍子汤,"['倍子', '朴硝', '桑寄生', '莲房', '荆芥']"
枯痔散,"['白矾', '蟾酥', '轻粉', '白砒', '天灵盖块']"
紫草油,"['紫草', '香油', '冰片']"
三黄洗剂,"['大黄', '黄柏', '黄芩', '苦参']"
桃花散,"['白石灰份', '大黄份']"
一扫光,"['苦参', '黄柏', '烟胶', '木鳖肉', '蛇床子', '点红椒', '明矾', '枯矾', '硫黄', '大风子肉', '樟脑', '水银', '轻粉', '白砒']"
鹅黄散,"['绿豆粉', '黄柏', '轻粉', '滑石饯']"
颠倒散,"['大黄', '硫黄']"
立马回疔丹,"['蟾酥', '硇砂', '轻粉', '白丁香', '蜈蚣条', '雄黄', '朱砂', '乳香', '麝香字', '金顶砒']"
阳和解凝膏,"['鲜牛蒡', '鲜白凤仙梗', '川芎', '附子', '桂枝', '大黄', '当归', '肉桂', '草乌', '川乌', '地龙', '僵蚕', '赤芍', '白芷', '白蔹', '白及', '乳香', '没药', '官桂', '续断', '防风', '荆芥', '灵脂', '木香', '香橼', '苏合油', '麝香', '大麻油']"
先期汤,"['生地黄', '川当归', '白芍', '黄柏', '知母', '黄芩', '黄连', '川芎', '阿胶', '艾叶', '香附', '炙甘草']"
鲫鱼膏,"['鲫鱼', '火麻仁', '乳香', '没药', '巴豆', '轻粉', '土贝母', '桑枝尺']"
八宝丹,"['珍珠', '牛黄', '琥珀', '煅龙骨', '轻粉—', '冰片', '煅炉甘石']"
黑退消,"['生川乌', '生草乌', '生南星', '生夏', '生磁石', '公丁香', '肉桂', '制乳香', '制没药', '甘松', '硇砂', '冰片', '麝香']"
甘遂通结汤,"['甘遂末', '桃仁', '木香', '生牛膝', '川朴', '赤芍', '大黄']"
太乙膏,"['肉桂', '白芷', '当归', '玄参', '赤芍', '生地黄', '大黄', '土木鳖', '槐枝段', '柳枝段', '阿魏', '轻粉', '血余', '东丹', '乳香', '没药', '麻油']"
回阳玉龙膏,"['草乌', '煨于姜', '赤芍', '白芷', '煨天南星', '肉桂']"
桂麝散,"['麻黄', '细辛', '肉桂', '丁香', '皂角', '生夏', '天南星', '麝香', '冰片']"
大黄甘遂汤,"['大黄', '甘遂', '阿胶']"
