名字,组成
钱氏白术散,"['人参', '白术', '藿香叶', '茯苓', '木香', '甘草', '葛根']"
实脾散,"['炮附子', '白术', '白茯苓', '干姜', '厚朴', '木瓜', '木香', '草果仁', '大腹子', '甘草', '生姜片', '大枣']"
防己茯苓汤,"['防己', '黄芪', '桂枝', '茯苓', '甘草']"
胃苓汤,"['苍术', '厚朴', '茯苓', '猪苓', '泽泻', '官桂', '白术', '甘草']"
猪苓汤,"['猪苓', '茯苓', '泽泻', '滑石', '阿胶']"
四苓散,"['茯苓', '猪苓', '泽泻', '白术']"
回生再造丸,"['水安息', '人参', '蕲蛇', '当归', '川芎', '川连', '羌活', '防风', '玄参', '乳香', '白芷', '茯苓', '麻黄', '天麻', '川萆薢', '姜黄', '甘草', '肉桂', '白蓬仁', '何首乌', '琥珀', '黄氏', '大黄', '草豆蔻', '雄鼠粪', '熟地黄', '芽山甲', '全蝎', '威灵仙', '葛根', '桑寄生', '细辛', '赤芍', '乌药', '於术', '僵蚕', '乳香', '没药', '辰砂', '骨碎补香附', '天竺黄', '附子', '龟板', '沉香', '丁香', '胆星', '红花', '犀角', '厚朴', '地龙', '松香', '木香', '冰片', '牛黄', '血竭', '虎胫骨']"
小活络丹,"['制川乌', '制草乌', '制南星', '地龙', '乳香', '没药']"
大活络丹,"['白花蛇', '乌梢蛇', '麻黄', '细辛', '全蝎', '头尖', '赤芍', '贯众', '防风', '葛根', '没药', '血竭', '朱砂', '乌犀屑', '地龙', '炙甘草', '丁香', '白僵蚕', '乳香', '麝香', '片脑', '官桂', '草豆蔻', '川羌活', '虎胫骨', '玄参', '牛黄', '威灵山', '天麻', '藿香', '天竺黄', '败龟板', '人参', '何首乌', '白芷', '乌药', '安息香', '黑附子', '香附', '白豆蔻', '骨碎补', '黄连', '茯苓', '黄芩', '白术', '熟地黄', '松香脂', '大黄', '当归', '木香', '沉香']"
大秦艽汤,"['秦艽', '川芎', '独活', '当归', '白芍', '石膏', '甘草', '羌活', '防风', '白芷', '黄芩', '白术', '茯苓', '生地黄', '熟地黄', '细辛']"
宣痹汤,"['防己', '杏仁', '滑石', '连翘', '栀子', '薏苡仁', '夏醋', '晚蚕沙', '赤小豆']"
桑枝虎杖汤,"['桑枝', '虎杖根', '金雀根', '臭梧桐', '红枣']"
豨桐丸,"['豨莶草', '臭梧桐叶']"
身痛逐瘀汤,"['秦艽', '川芎', '桃仁', '红花', '甘草', '羌活', '没药', '当归', '灵脂', '香附', '牛膝', '地龙']"
除湿蠲痹汤,"['苍术', '白术', '茯苓', '羌活', '泽泻', '甘草', '姜汁匙', '竹沥匙']"
薏苡仁汤,"['薏苡仁', '当归', '川芎', '生姜', '桂枝', '羌活', '独活', '防风', '白术', '草乌', '川乌', '麻黄']"
防风汤,"['防风', '甘草', '当归', '赤茯苓', '杏仁', '桂枝', '黄芩', '秦艽', '葛根', '麻黄']"
桂枝芍药知母汤,"['桂枝', '芍药', '甘草', '麻黄', '知母', '生姜', '白术', '防风', '附子']"
桂枝附子汤,"['桂枝', '附子', '炙甘草', '生姜', '大枣']"
白术附子汤,"['附子', '白术', '生姜', '炙甘草', '大枣']"
黄芪桂枝五物汤,"['黄芪', '桂枝', '芍药', '生姜', '大枣']"
五痹汤,"['片姜黄', '炙甘草', '羌活', '白术', '防己']"
蠲痹汤,"['当归', '羌活', '姜黄', '黄芪', '白芍', '防风', '甘草']"
乌头汤,"['麻黄', '黄芪', '芍药', '炙甘草', '川乌']"
附子汤,"['附子', '茯苓', '人参', '白术', '芍药']"
安冲汤,"['白术', '生黄芪', '生龙骨捣细', '生牡蛎捣细', '大生地', '生杭芍', '海螵蛸捣细', '茜草', '川续断']"
苎根汤,"['苎麻根', '干地黄', '当归', '芍药', '阿胶', '炙甘草']"
过期饮,"['当归', '白芍', '熟地黄', '香附', '川芎', '红花', '桃仁', '莪术', '木通', '炙甘草', '肉桂']"
四乌鲗骨一芦茹丸,"['乌贼骨份', '茜草份']"
胶艾汤,"['川芎', '烊化阿胶']"
柏叶汤,"['侧柏叶', '干姜', '艾叶']"
崩证极验方,"['生地黄', '白芍', '黄芩', '黄连', '牡丹', '焦山栀', '莲须', '地榆', '牡蛎', '甘草']"
清经散,"['牡丹', '地骨', '白芍', '熟地黄', '青蒿', '茯苓', '盐水黄柏']"
地榆散,"['地榆', '黄芪', '枳壳', '槟榔', '黄芩', '赤芍', '当归']"
荆芩四物汤,"['生地黄', '当归', '川芎', '白芍', '荆芥', '黄芩']"
知柏四物汤,"['生地黄', '当归', '川芎', '白芍', '知母', '黄柏']"
四物加黄芩黄连汤,"['生地黄', '当归', '白芍', '川芎', '黄芩', '黄连']"
三鲜饮,"['鲜茅根', '鲜藕', '鲜小蓟根']"
咳血方,"['水飞青黛', '诃子', '油瓜蒌仁', '海浮石', '黑栀子']"
四生丸,"['生荷叶', '生艾叶', '生柏叶', '生地黄']"
除风益损汤,"['熟地黄', '当归', '白芍', '川芎', '藁本', '前胡', '防风']"
跌打丸,"['没药', '乳香', '麻黄', '自然铜', '当归', '川芎', '土鳖虫', '血竭', '马子', '麝香']"
理冲汤,"['生山药', '天花粉', '知母', '黄芪', '莪术', '鸡内金', '党参', '白术']"
通瘀煎,"['当归尾饯', '山楂', '香附', '红花', '乌药', '木香', '泽泻']"
温经汤,"['吴茱萸', '麦门冬', '当归', '芍药', '川芎', '人参', '桂枝', '阿胶', '牡丹', '生姜', '甘草']"
宫外孕方,"['号：丹参', '赤芍', '桃仁']"
桂枝茯苓丸,"['桂枝', '茯苓', '牡丹', '桃仁', '芍药']"
鳖甲煎丸,"['炙鳖甲', '赤硝', '蜣螂', '芍药', '牡丹', '土蟞虫', '蜂巢', '乌扇', '柴胡', '黄芩', '鼠妇', '干姜', '大黄', '桂枝', '厚朴', '石韦', '紫葳', '炙阿胶', '瞿麦', '桃仁', '葶苈', '夏人参']"
大黄蛰虫丸,"['大黄', '黄芩', '甘草', '桃仁', '杏仁', '芍药', '干地黄', '干漆', '虻虫', '水蛭百', '蛴螬', '蛰虫']"
当归芍药散,"['当归', '芍药', '泽泻', '川芎', '茯苓', '白术']"
复方当归注射液,"['当归', '川芎', '红花']"
复方丹参注射液,"['丹参', '降香']"
丹参饮,"['丹参', '檀香', '砂仁']"
柴胡细辛汤,"['柴胡', '土鳖虫', '丹参', '制夏', '泽兰', '当归', '川芎', '细辛', '薄荷', '黄连']"
活络效灵丹,"['当归', '丹参', '乳香', '没药']"
当归拈痛汤,"['羌活', '甘草', '茵陈', '防风', '苍术', '当归身', '知母', '猪苓', '泽泻', '白术', '黄芩', '葛根', '人参', '苦参']"
失笑散,"['灵脂', '蒲黄']"
当归饮子,"['当归', '白芍', '川芎', '生地黄', '白蒺藜', '防风', '荆芥穗', '何首乌', '黄芪', '炙甘草']"
助阳止痒汤,"['黄芪', '桃仁', '红花', '皂刺', '赤芍', '山甲']"
桃红饮,"['桃仁', '红花', '当归尾', '川芎', '威灵仙']"
脱花煎,"['当归', '川芎', '牛膝', '车前子', '肉桂', '红花']"
下瘀血汤,"['大黄', '桃仁', '䗪虫']"
抵当汤,"['水蛭', '虻虫', '桃仁', '大黄']"
通窍活血汤,"['赤芍', '川芎', '桃仁', '红花', '生姜', '麝香厘', '老葱根', '大枣']"
会厌逐瘀汤,"['桃仁', '红花', '生地黄', '当归', '赤芍', '枳壳', '桔梗', '柴胡', '玄参', '甘草']"
少腹逐瘀汤,"['小茴香粒', '干姜', '延胡索', '官桂', '没药', '川芎', '赤芍', '灵脂', '蒲黄', '当归']"
桃红四物汤,"['白芍', '川当归', '熟地黄', '川芎', '桃仁', '红花']"
丁香柿蒂汤,"['丁香', '柿蒂', '人参', '生姜']"
橘皮竹茹汤,"['竹茹', '大枣', '生姜', '甘草', '人参']"
小半夏汤,['生姜']
暖肝煎,"['当归', '枸杞', '乌药', '小茴香', '茯苓', '沉香', '肉桂', '生姜片']"
橘核丸,"['橘核', '海藻', '昆布', '海带', '川楝子', '桃仁', '厚朴', '木通', '枳实', '延胡索', '肉桂', '木香']"
天台乌药散,"['乌药', '木香', '茴香', '青橘', '高良姜', '槟榔', '川楝子']"
四磨汤,"['人参', '槟榔', '沉香', '天台乌药']"
金铃子散,"['金铃子', '玄胡索']"
失笑丸,"['干姜', '炙甘草', '麦芽', '白茯苓', '白术', '人参', '厚朴', '枳实', '黄连']"
中满分消丸,"['白术', '人参', '炙甘草', '猪苓', '姜黄', '白茯苓', '干姜', '砂仁', '泽泻', '知母', '黄芩', '黄连', '汤洗夏', '枳实', '姜厚朴']"
黄连汤,"['黄连', '炙甘草', '干姜', '桂枝', '人参', '擘大枣']"
芍药甘草汤,"['芍药', '炙甘草']"
柴胡加龙骨牡蛎汤,"['柴胡', '龙骨', '生姜', '人参', '桂枝', '茯苓', '洗夏合', '黄芩', '铅丹', '大黄', '熬牡蛎', '擘大枣']"
己椒苈黄丸,"['防己', '椒目', '熬葶苈', '大黄']"
禹功散,"['头末黑牵牛', '茴香']"
疏凿饮子,"['泽泻', '赤小豆', '商陆', '芦羌活', '大腹', '椒目', '木通', '芦秦艽', '槟榔', '茯苓']"
通幽汤,"['桃仁泥', '红花', '生地黄', '熟地黄', '当归身', '炙甘草']"
济川煎,"['当归至', '牛膝', '酒洗肉苁蓉', '泽泻', '麻至', '枳壳', '虚甚者不必用']"
五仁丸,"['桃仁', '麸杏仁', '柏子仁厘', '郁李仁', '松子仁陈另研末']"
半硫丸,['硫黄']
青麟丸,"['当归', '生地黄', '黄柏', '连翘', '薄荷', '青盐', '石斛', '猪苓', '茯苓', '玄参', '牡丹', '地骨', '薏仁米', '泽泻', '车前子', '知母', '侧柏', '木通', '甘草', '鲜藕', '甘蔗', '韭菜']"
新加黄龙汤,"['细生地黄', '生甘草', '人参', '另煎', '生大黄', '芒硝', '玄参', '连麦门冬', '当归', '海参条', '姜汁匙']"
温脾汤,"['大黄', '附子大者', '干姜', '人参', '甘草']"
增液承气汤,"['生地黄', '麦门冬', '大黄', '芒硝', '玄参']"
开胸顺气丸,"['槟榔', '牵牛子', '木香', '姜制厚朴', '醋制棱', '醋制莪术', '猪牙皂']"
木香槟榔丸,"['木香', '槟榔', '莪术', '烧枳壳', '黄连', '黄柏', '大黄', '香附子', '牵牛末']"
宣白承气汤,"['生石膏', '生大黄', '杏仁粉', '栝楼']"
大黄甘草汤,"['大黄', '炙甘草']"
大陷胸汤,"['大黄', '芒硝', '甘遂匕']"
桃核承气汤,"['桃核', '大黄', '桂枝', '炙甘草', '芒硝']"
厚朴三物汤,"['厚朴', '大黄', '枳实']"
当归六黄汤,"['当归', '生地黄', '黄芩', '黄柏', '黄连', '熟地黄', '黄芪倍']"
柴前梅连散,"['柴胡', '前胡', '胡黄连', '乌梅']"
秦艽鳖甲散,"['柴胡', '鳖甲', '地骨', '秦艽', '当归', '知母']"
清骨散,"['银柴胡', '胡黄连', '秦艽', '鳖甲', '地骨', '青蒿', '知母', '甘草']"
清肾汤,"['知母', '黄柏', '龙骨', '牡蛎', '白芍', '山药', '乌贼骨', '茜草', '泽泻']"
蒿芩清胆汤,"['青蒿脑至', '淡竹茹', '仙夏', '赤茯苓', '青子芩至', '生枳壳', '广陈', '碧玉散']"
清心莲子饮,"['黄芩', '麦门冬', '地骨', '车前子', '石莲肉', '茯苓', '黄芪', '人参', '甘草']"
清宫汤,"['玄参', '莲子', '竹叶卷', '连翘', '犀角尖', '连麦门冬']"
固真汤,"['柴胡', '羌活', '炙甘草', '泽泻', '草龙胆', '知母', '黄柏']"
清震汤,"['苍术', '荷叶张']"
三豆饮子,"['赤小豆', '黑豆', '绿豆', '甘草']"
清燥汤,"['黄芪', '白术', '泽泻', '茯苓', '炙甘草', '麦门冬', '当归', '生地', '黄神曲', '猪苓', '柴胡', '黄柏', '黄连', '苍术']"
二妙散,"['黄柏', '苍术']"
当归贝母苦参丸,"['当归', '贝母', '苦参']"
香连化滞丸,"['厚朴', '枳实', '黄芩', '黄连', '当归', '白芍', '滑石', '木香', '甘草', '槟榔']"
葛根黄芩黄连汤,"['葛根', '甘草', '黄芩', '黄连']"
栀子柏皮汤,"['栀子', '炙甘草', '黄柏']"
银黄片,"['金银花提取物', '黄芩苷', '药比例为：', '制成片剂']"
清瘟败毒饮,"['生石膏', '中剂至', '小剂至)', '生地黄', '中剂至', '小剂至)', '黄连', '中剂至', '小剂至)', '栀子', '桔梗', '黄芩', '知母', '赤芍', '玄参', '连翘', '竹叶', '甘草']"
化斑汤,"['石膏', '知母', '廿草', '玄参', '犀角', '白粳米合']"
神犀丹,"['犀角', '生地黄', '香豉', '连翘', '黄芩', '板蓝根', '金银花', '元参', '花粉', '石菖蒲', '紫草']"
竹叶汤,"['竹叶把', '葛根', '防风', '桔梗', '桂枝', '人参', '甘草', '炮附子', '大枣', '生姜']"
三物黄芩汤,"['黄芩', '苦参', '干地黄']"
清络饮,"['鲜荷叶边', '鲜金银花', '西瓜翠衣', '鲜扁豆花枝', '丝瓜', '鲜竹叶']"
清空膏,"['川芎', '柴胡', '黄连', '防风', '羌活', '炙甘草', '黄芩']"
连附六一汤,"['黄连', '附子', '生姜片', '红枣']"
清凉涤暑法,"['滑石', '连翘', '茯苓', '生甘草', '青蒿', '白扁豆', '通草', '西瓜翠衣片']"
竹叶石膏汤,"['竹叶把', '石膏', '人参', '甘草', '粳米', '麦门冬']"
栀子豉汤,"['栀子', '香豉合']"
石膏汤,"['生石膏', '黄连', '黄柏', '黄芩', '香豉', '麻黄']"
大金花丸,"['黄连', '黄芩', '黄柏', '栀子', '生大黄']"
白虎加人参汤,"['知母', '石膏', '甘草', '粳米合', '人参']"
桂枝加大黄汤,"['桂枝', '白芍药', '生姜', '大黄', '大枣', '甘草']"
小续命汤,"['麻黄', '防己', '人参', '黄芩', '甘草', '芍药', '川芎', '杏仁', '附子', '防风', '生姜']"
再造散,"['黄芪', '人参', '桂枝', '甘草', '熟附子', '细辛', '羌活', '防风', '川芎', '煨生姜']"
参苏饮,"['人参', '紫苏叶', '干葛', '前胡', '茯苓', '枳壳', '桔梗', '木香', '甘草']"
宣毒发表汤,"['葛根', '牛蒡子', '连翘', '前胡', '杏仁', '木通', '竹叶', '防风', '荆芥', '桔梗', '薄荷', '甘草']"
竹叶柳蒡汤,"['西河柳', '荆芥穗', '干葛', '蝉蜕', '薄荷叶', '鼠粘子', '知母', '玄参', '甘草', '麦门冬', '竹叶片', '甚者石膏', '冬米撮']"
升麻葛根汤,"['白芍', '甘草', '葛根']"
菊花茶调散,"['菊花', '川芎', '荆芥穗', '羌活', '甘草', '白芷', '细辛', '防风', '僵蚕', '蝉蜕', '薄荷']"
羌蓝汤,"['羌活', '板蓝根']"
辛夷散,"['辛夷', '细辛', '藁本', '川芎', '木通', '防风', '羌活', '甘草', '白芷']"
苍耳散,"['辛夷仁', '苍耳子', '香白芷', '薄荷叶']"
清上蠲痛汤,"['当归', '川芎', '白芷', '羌活', '防风', '苍术', '麦门冬', '独活', '细辛', '甘草', '蔓荆子', '菊花', '黄芩']"
散偏汤,"['白芍', '川芎', '郁李仁', '柴胡', '白芥子', '香附', '甘草', '白芷']"
侯氏黑散,"['菊花', '白术', '细辛', '茯苓', '牡蛎', '桔梗', '防风', '人参', '矾石', '黄芩', '当归', '干姜', '川芎', '桂枝']"
升降散,"['白僵蚕', '蝉蜕', '大黄', '姜黄']"
桂枝加龙骨牡蛎汤,"['桂枝', '芍药', '生姜', '甘草', '大枣', '牡蛎', '龙骨']"
双解散,"['防风通圣散', '益元散']"
防风通圣散,"['防风', '川芎', '当归', '芍药', '大黄', '薄荷叶', '麻黄', '连翘', '芒硝', '石膏', '黄芩', '桔梗', '滑石', '甘草荆芥', '白术', '栀子']"
苏羌达表汤,"['苏叶至', '防风至', '光杏仁至', '羌活至—', '白芷至', '广橘红至', '鲜生姜至', '浙茯苓至']"
神术散,"['苍术', '藁本', '白芷', '细辛', '羌活', '川芎', '甘草—']"
香薷散,"['香薷', '白扁豆', '厚朴']"
桂枝去芍药加蜀漆牡蛎龙骨救逆汤,"['桂枝', '甘草', '生姜', '大枣', '牡蛎', '蜀漆', '龙骨']"
香苏散,"['香附子', '紫苏叶', '甘草']"
葱豉汤,"['葱白虎口', '淡豆豉']"
五积散,"['苍术', '桔梗', '枳壳', '芍药', '白芷', '川芎', '当归', '甘草', '肉桂', '茯苓', '厚朴干姜', '麻黄']"
午时茶,"['茅术', '柴胡', '连翘', '白芷', '川朴', '枳实', '楂肉', '羌活', '前胡', '防风', '藿香', '甘草', '建曲', '川芎', '陈茶', '桔梗', '麦芽', '苏叶']"
葛根汤,"['葛根', '麻黄', '桂枝', '生姜', '甘草', '芍药', '大枣']"
荆防败毒散,"['羌活', '柴胡', '前胡', '独活', '枳壳', '茯苓', '荆芥', '防风', '桔梗', '川芎', '甘草']"
柴葛解肌汤,"['柴胡', '干葛', '甘草', '黄芩', '羌活', '白芷', '芍药', '桔梗', '生姜', '大枣', '石膏']"
栝楼桂枝汤,"['栝楼根', '桂枝', '芍药', '甘草', '生姜', '大枣']"
桂枝加厚朴杏子汤,"['桂枝', '芍药', '生姜', '甘草', '大枣', '厚朴', '杏仁']"
越婢汤,"['麻黄', '石膏', '生姜', '甘草', '大枣']"
桂枝加葛根汤,"['桂枝', '芍药', '生姜', '甘草', '大枣', '葛根']"
桂枝加芍药汤,"['桂枝', '芍药', '甘草', '生姜', '大枣']"
麻黄附子细辛汤,"['麻黄附子', '细辛']"
二仙汤,"['仙茅', '仙灵脾', '巴戟天', '知母', '黄柏', '当归']"
补肾强身片,"['淫羊藿', '菟丝子', '金樱子', '女贞子', '狗脊']"
五子补肾丸,"['菟丝子', '味子', '枸杞子', '覆盆子', '车前子']"
毓麟珠,"['人参', '白术', '茯苓', '芍药', '川芎', '炙甘草', '当归', '熟地黄', '菟丝子', '杜仲', '鹿角霜', '川椒']"
赞育丹,"['熟地黄', '白术', '当归', '枸杞子', '杜仲', '仙茅', '巴戟天', '山茱萸', '淫羊霍', '肉苁蓉', '韭菜子', '蛇床子', '附子', '肉桂']"
菟丝子丸,"['菟丝子', '鹿茸', '石龙芮', '肉桂', '附子', '石斛', '熟地', '黄茯苓', '牛膝', '续断', '山茱萸', '肉苁蓉', '防风', '杜仲', '补骨脂', '荜澄茄', '沉香', '巴戟天', '茴香', '味子', '桑螵蛸', '川芎', '覆盆子', '泽泻']"
无比山药丸,"['山药', '肉苁蓉', '味子', '菟丝子', '杜仲', '牛膝', '泽泻', '干地黄', '山茱萸', '茯神', '巴戟天', '赤石脂']"
济生肾气丸,"['附子炮', '白茯苓', '泽泻', '山茱萸', '山药', '车前子', '牡丹', '官桂', '川牛膝', '熟地黄']"
龟鹿二仙胶,"['鹿角', '龟甲', '人参', '枸杞子']"
右归饮,"['熟地可至', '山药', '山茱萸', '枸杞', '炙甘草', '姜制杜仲', '肉桂', '制附子']"
右归丸,"['大怀熟地', '山药', '微山茱萸', '微枸杞', '珠鹿角胶', '制菟丝子', '姜汤杜仲', '当归', '肉桂可至', '制附子可至']"
全鹿丸,"['中鹿', '人参', '黄芪', '白术', '茯苓', '当归', '川芎', '生地黄', '熟地黄', '天门冬', '麦门冬', '炙甘草', '补骨脂', '川续断', '杜仲', '川牛膝', '枸杞子', '巴戟天', '胡芦巴', '干山药', '芡实子', '菟丝子', '味子', '覆盆子', '楮实子', '锁阳', '肉苁蓉', '秋石', '川椒', '小茴香', '青盐', '沉香']"
增液汤,"['玄参', '麦门冬', '生地黄']"
五汁饮,"['梨汁', '荸荠汁', '鲜苇根汁', '麦冬汁', '藕汁用蔗汁']"
启膈散,"['沙参', '丹参', '茯苓', '川贝母', '郁金', '砂仁壳', '荷叶蒂', '杵头糠']"
甘露饮子,"['熟地黄', '生地黄', '天门冬', '麦门冬', '枇杷叶', '黄芩', '石斛', '枳壳', '甘草', '茵陈']"
益胃汤,"['沙参', '麦门冬', '冰糖', '细生地', '香玉竹']"
消渴方,"['黄连末', '天花粉末', '人乳汁亦可用牛乳代替', '藕汁', '生地黄汁']"
玉液汤,"['生山药', '生黄芪', '知母', '生鸡内金捣细', '葛根', '味子', '天花粉']"
二冬汤,"['天门冬', '麦门冬', '天花粉', '黄芩', '知母', '荷叶', '甘草', '人参']"
月华丸,"['天门冬', '麦门冬', '生地黄', '熟地黄', '山药', '百部', '沙参', '川贝母', '阿胶', '茯苓', '獭肝']"
养阴清肺汤,"['大生地', '麦门冬', '玄参', '生甘草', '贝母', '牡丹', '薄荷', '白芍']"
沙参麦冬汤,"['沙参', '玉竹', '生甘草', '桑叶', '生扁豆', '天花粉', '麦门冬']"
一贯煎,"['北沙参', '麦门冬', '当归', '生地黄', '枸杞子', '川檩子']"
桑麻丸,"['桑叶', '黑芝麻', '白蜜']"
滋阴大补丸,"['熟地黄', '牛膝', '山药', '山茱萸', '杜仲', '茯苓', '巴戟天', '味子', '小茴香', '肉苁蓉', '远志', '石菖蒲', '甘杞子']"
虎潜丸,"['酒黄柏', '洒炙龟板', '酒知母', '熟地黄', '白芍药', '锁阳', '炙虎骨', '干姜']"
滋水清肝饮,"['熟地黄', '山药', '山茱萸', '牡丹', '茯苓', '泽泻', '白芍', '栀子', '酸枣仁', '当归', '柴胡']"
保阴煎,"['生地黄', '熟地黄', '芍药', '山药', '续断', '黄芩', '黄柏', '生甘草']"
拯阴理劳汤,"['人参', '麦门冬', '白芍', '生地黄', '女贞子', '龟板', '当归', '薏苡仁', '橘红', '牡丹', '莲子肉', '百合', '炙甘草', '大枣']"
七宝美髯丹,"['赤白何首乌', '白茯苓', '牛膝', '当归', '枸杞', '菟丝子', '补骨脂']"
还少丹,"['熟地黄', '山药', '牛膝', '枸杞子', '山萸肉', '茯苓', '杜仲', '远志', '味子', '石菖蒲', '楮实', '小茴香', '巴戟天', '肉苁蓉']"
加减复脉汤,"['炙甘草', '干地黄', '生白芍', '麦门冬', '阿胶', '麻仁']"
左归饮,"['熟地黄至', '山药', '枸杞', '炙甘草', '茯苓', '山茱萸', '畏酸者少用之']"
补肾养血汤,"['熟地黄', '补骨脂', '菟丝子饼', '丹参', '茺蔚子', '枸杞子', '当归', '杜仲', '白芍', '山茱萸', '肉苁蓉', '红花胡桃仁']"
小温中丸,"['童便浸香附', '苍术', '白术', '苦参', '姜汁黄连', '醋针砂']"
绛矾丸,"['皂矾裹烧红', '杜苍术', '真川朴', '焦甘草']"
壮筋养血汤,"['当归', '白芍', '川续断', '杜仲', '生地黄', '川芎', '红花', '牡丹', '牛膝']"
补肝汤,"['当归', '白芍', '熟地黄', '炙甘草', '川芎', '木瓜', '酸枣仁']"
羊肝丸,"['黄连', '羊肝具']"
通乳丹,"['人参', '黄芪', '当归', '麦门冬', '木通', '桔梗', '猪蹄']"
当归生姜羊肉汤,"['当归', '生姜', '羊肉']"
安奠二天汤,"['人参', '熟地黄', '白术', '山药', '山茱萸', '炙甘草', '杜仲', '枸杞子', '扁豆']"
当归散,"['当归', '黄芩', '芍药', '川芎', '白术']"
大补元煎,"['人参少则用多则用', '山药', '熟地黄少则用多则用', '杜仲', '当归', '山茱萸枸杞', '炙甘草饯']"
寿胎丸,"['菟丝子', '桑寄生', '续断', '阿胶']"
泰山磐石饮,"['人参', '黄芪', '当归', '续断', '黄芩', '白术', '川芎', '白芍', '熟地黄', '砂仁', '炙甘草', '糯米撮']"
乌鸡丸,"['净乌鸡', '地黄', '当归', '人参', '鹿角胶', '白芍', '香附', '山药', '丹参', '鳖甲', '天门冬', '川芎', '芡实', '桑螵蛸', '煅牡蛎', '鹿角霜', '黄芪', '甘草', '银柴胡']"
薯蓣丸,"['薯蓣', '当归', '桂枝', '神曲', '干地黄', '大豆黄卷', '甘草', '人参', '阿胶)', '川芎', '白芍', '白术', '麦门冬', '防风', '杏仁', '柴胡', '桔梗', '茯苓', '干姜', '白蔹', '大枣百']"
首乌延寿丹,"['何首乌', '豨莶草', '菟丝子', '杜仲', '牛膝', '女贞子', '霜桑叶', '忍冬藤', '生地黄', '桑椹膏', '黑芝麻膏', '金樱子膏', '旱莲草膏']"
圣愈汤,"['生地黄', '熟地黄', '川芎', '人参', '白芍', '当归身', '黄芪']"
当归补血汤,"['黄芪', '当归']"
归脾汤,"['白术', '当归', '白茯苓', '黄芪', '龙眼肉', '远志', '酸枣仁', '木香', '炙甘草', '人参']"
人参养荣汤,"['黄芪', '当归', '炙甘草', '白术', '人参', '白芍药', '熟地黄', '味子', '茯苓远志', '生姜片', '大枣']"
八珍汤,"['人参', '白术', '白茯苓', '当归', '川芎', '白芍药', '熟地黄', '炙甘草']"
十全大补汤,"['当归', '川芎', '白芍', '熟地黄', '人参', '白术', '茯苓', '炙甘草', '黄芪', '肉桂']"
四物汤,"['当归', '川芎', '白芍', '熟地黄']"
何人饮,"['何首乌至', '当归', '人参至', '煨姜片']"
保真汤,"['当归', '生地黄', '白术', '黄芪', '人参', '赤茯苓', '赤芍药', '甘草', '白茯苓', '厚朴', '天门冬', '麦门冬', '白芍药', '知母', '黄柏', '味子', '柴胡', '地骨', '熟地黄']"
三才汤,"['人参', '天门冬', '干地黄']"
肾气丸,"['干地黄', '山药和山茱萸', '泽泻', '茯苓', '牡丹', '桂枝', '炮附子']"
琼玉膏,"['：新罗人参', '生地黄', '白茯苓', '白沙蜜', '：人参', '沉香', '琥珀', '白砂蜜', '白茯苓', '生地黄', '：鲜地黄', '人参', '枸杞', '天门冬', '麦门冬', '白蜜', '白茯芩']"
举元煎,"['人参', '炙黄芪', '炙甘草', '白术']"
参苓白术散,"['莲子肉', '薏苡仁', '缩砂仁', '桔梗令深黄色', '白扁豆姜汁浸', '白茯苓', '人参', '甘草', '白术', '甘草炙', '山药']"
芪附汤,"['炮附子脐', '黄芪盐水', '蜜拌炙']"
调中益气汤,"['黄芪', '人参甘草苍术', '柴胡橘麻', '木香至']"
益气聪明汤,"['黄芪甘草', '人参', '麻葛根', '蔓荆子', '芍药', '黄柏酒制']"
黄芪甘草汤,"['黄芪', '甘草']"
升陷汤,"['生黄芪', '知母', '柴胡', '桔梗']"
地黄饮子,"['熟干地黄', '巴戟天', '山茱萸', '肉苁蓉', '附子', '脐石斛根', '味子', '官桂', '白茯苓', '麦门冬', '远志', '菖蒲']"
麻子仁丸,"['子仁', '芍药', '炙枳实', '大黄', '炙厚朴尺', '杏仁', '别作脂']"
麻黄汤,"['麻黄', '桂枝', '杏仁尖', '甘草炙']"
保和丸,"['山楂', '茯苓', '神曲', '连翘', '莱菔子']"
清胃散,"['生地黄', '当归', '牡丹', '黄连', '夏月倍之']"
麻黄杏仁石膏甘草汤,"['麻黄', '杏仁尖', '甘草炙', '石膏碎', '绵裹']"
川芎茶调散,"['川芎', '荆芥梗', '白芷', '羌活', '甘草', '细辛', '防风芦', '薄荷不见火']"
固冲汤,"['白术', '生黄芪', '龙骨煅捣细', '牡蛎煅捣细', '山萸肉净核', '生杭芍', '海螵蛸捣细', '茜草', '棕边炭', '倍子', '轧细', '药汁送服', '功用鉴别本与归脾汤均治脾虚气不摄血之崩漏下血', '但归脾汤是由健脾与养安神药配伍', '以补为主', '所治者为脾虚', '脾不统血之崩漏下血', '本是由健脾与收涩药配伍', '以涩为主', '所治者为脾气虚弱', '冲脉不固之崩漏下血']"
加减葳蕤汤,['生葳蕤至生葱白至桔梗至东白薇至淡豆豉至苏薄荷至炙甘草红枣']
健脾丸,"['白术', '木香另研', '黄连酒', '甘草', '白茯苓', '人参', '神曲', '砂仁', '麦芽取', '山楂取肉', '山药', '肉豆蔻', '裹煨热', '纸包捶油']"
半夏泻心汤,"['黄芩', '干姜', '人参', '黄连', '大枣', '甘草']"
牡蛎散,"['黄芪苗土', '煅牡蛎米泔浸再刷土后火烧通赤', '麻黄根洗']"
