名字,组成
复方罗汉果止咳颗粒,"['罗汉果', '桑白', '百部', '枇杷叶', '白前', '桔梗']"
复方金钱草颗粒,"['广金草', '车前草', '石韦', '玉米须']"
健脑胶囊,"['人参', '麦冬', '味子', '制首乌', '熟地黄', '远志', '石菖蒲', '茯苓', '珍珠粉']"
健脑益气片,"['黄芪', '葛根', '川芎', '山楂', '菊花', '蔓荆子', '白芷', '黄柏']"
跌打扭伤散,"['黄毛耳草', '干姜', '栀子', '桃仁', '绒楠']"
湿润烧伤膏,"['黄连', '黄柏', '黄芩', '地龙', '罂粟壳']"
解肌宁嗽丸,"['紫苏叶', '前胡', '葛根', '苦杏仁', '桔梗', '浙贝母', '天花粉', '枳壳', '茯苓', '木香', '玄参', '甘草']"
肠胃舒胶囊,"['草果', '木香', '蜘蛛香', '紫地榆', '草血竭']"
妇洁阴洗液,"['苦豆草总碱', '黄柏', '百部', '蛇床子', '薄荷脑']"
红花黄色素氯化钠注射液,['红花黄色素']
抗宫炎片,"['广东紫珠', '益母草']"
复肝宁胶囊,"['板蓝根', '麦芽', '柴胡', '牡丹', '山楂', '金银花', '神曲']"
复肾宁胶囊,"['车前子', '篇蓄', '知母', '益母草', '大黄', '桅子', '黄柏', '牡丹', '甘草', '附子']"
保心宁胶囊,"['丹参干浸膏', '枳壳干浸膏', '当归干浸膏']"
益心复脉颗粒,"['生晒参', '黄芪', '丹参', '麦冬', '味子', '川芎']"
清热凉血膏,"['黄芩', '地黄']"
清热通淋胶囊,"['爵床', '苦参', '白茅根', '硼砂']"
舒更片,"['豆蔻', '黄精', '天冬', '肉豆蔻', '沉香', '丁香', '手参']"
舒肝止痛丸,"['柴胡', '赤芍', '甘草', '郁金', '木香', '黄芩', '当归', '白术', '生姜', '延胡索', '川芎', '白芍', '薄荷', '香附', '川楝子', '莱菔子']"
滋补健身丸,"['车前子', '苘麻子', '大枣', '菟丝子', '甘草', '化橘红', '楮实子', '肉桂', '葶苈子']"
强骨胶囊,['骨碎补总黄酮']
愈三消胶囊,"['黄芪', '玄参', '鹿茸', '知母', '地黄', '麦冬', '天冬', '红参', '淫羊藿', '天花粉味']"
解痉镇痛酊,"['辣椒浸出液', '陈浸出液', '水杨酸甲酯', '薄荷脑']"
痹痛宁胶囊,"['马子粉', '全蝎', '僵蚕', '麻黄', '苍术', '乳香', '川牛膝', '刺浸膏', '甘草']"
藤丹胶囊,"['钩藤', '夏枯草', '丹参', '杜仲', '当归', '冬虫夏草', '葛根', '洋槐花', '羚羊角', '牛膝', '雪域红景天', '罗布麻', '野菊花', '川芎', '决明子', '甘草多味']"
藿香祛暑软胶囊,"['广藿香', '香薷', '白芷', '紫苏叶', '苍术', '丁香', '大腹', '法夏', '茯苓', '生姜', '甘草']"
麝香接骨胶囊,"['当归', '川芎', '朱砂', '血竭', '儿茶', '土鳖虫', '牛膝', '续断', '红花', '乳香', '麝香']"
利咽灵片,"['穿山甲', '土鳖虫', '儒蚕', '牡蛎', '玄参']"
肝肾安糖浆,"['何首乌', '黑芝麻', '墨旱莲', '桑葚', '金樱子', '菟丝子', '稀莶草', '桑叶', '牛膝', '女贞子', '杜仲', '地黄', '金银花', '黑豆']"
苦双黄洗剂,"['苦参', '黄柏', '大黄', '百部', '丹参', '金银花', '蛇床子', '土茯苓', '大青叶', '甘草', '薄荷脑']"
肾炎安胶囊,['山牡荆']
复方肾炎片,"['丹参', '黄芪', '茯苓', '牵牛子', '车前子', '白茅根', '芦根', '黄精', '枝莲', '菟丝子', '山楂味']"
复方海蛇胶囊,"['海蛇', '海参', '远志', '石菖蒲']"
胆石利通片,"['硝石', '白矾', '郁金', '猪胆膏', '金草', '乳香', '大黄', '甘草']"
食积颗粒,"['白术', '鸡内金', '山楂', '甘草', '蚕蛹']"
脉安颗粒,"['北山楂', '麦芽']"
养血当归糖浆,"['当归', '茯苓', '黄芪', '白芍', '甘草', '川芎', '熟地黄', '党参']"
穿心莲内酯片,['穿莲内酯']
宫炎康颗粒,"['当归', '赤芍', '北败酱草', '香附', '炮姜', '泽兰', '川芎', '红花', '柴胡', '车前子', '海藻', '延胡索']"
冠心丹参片,"['丹参', '降香油']"
健脾降脂颗粒,"['党参', '灵芝', '南山楂', '丹参', '泽泻', '远志']"
健脾资生丸,"['党参', '山楂', '甘草', '橘红', '黄连', '薏苡仁', '白术', '芡实', '神曲', '桔梗', '白扁豆', '茯苓', '砂仁', '麦芽', '广稚香', '莲子肉', '豆蔻']"
银黄清肺胶囊,"['北葶苈子', '麻黄', '苦杏仁', '浙贝母', '枇杷叶', '大青叶', '石菖蒲', '穿山龙', '枝蒿', '银杏叶', '味子', '枳实', '生石膏', '甘草']"
康复春口服液,"['黄芪', '人参', '玉竹', '蜂王浆']"
鹿茸精注射液,['鹿茸提取物']
散结镇痛胶囊,"['龙血竭', '浙贝母', '薏苡仁']"
散痛舒片,['岩陀']
葛根汤颗粒,"['葛根', '麻黄', '白芍', '桂枝', '甘草', '生姜', '大枣']"
跌打镇痛膏,"['土鳖虫', '大黄', '生草乌', '马子', '薄荷索油', '薄荷脑', '樟脑', '冰片', '降香', '黄柏', '虎杖', '水杨酸甲酯']"
蛲虫药膏,"['百部浸膏', '甲紫']"
蛭龙血通胶囊,"['水蛭', '地龙', '川芎', '蕲蛇', '黄芪', '桃仁', '红花', '赤芍', '葛根', '川牛膝']"
祛瘀散结胶囊,"['白花蛇舌草', '白英', '山慈菇', '夏枯草', '土鳖虫', '蜈蚣', '山楂', '枳壳', '仙鹤草', '苦楝', '冰片', '黄芪', '麦芽', '甘草']"
祖师麻风湿膏,"['祖师麻', '当归', '赤芍', '香附', '羌活', '细辛', '白术', '防风', '白芷', '独活', '桃仁', '牛膝', '肉桂', '桂枝', '天南星', '麻黄', '地龙', '川乌', '草乌', '红花', '乳香', '投药', '冰片', '丁香']"
神曲茶,"['神曲', '麦芽', '山楂', '广藿香', '香附', '苍术', '紫苏叶', '槟榔', '桔梗', '厚朴', '白芷', '姜夏', '茯苓', '砂仁', '豆蔻', '甘草']"
神衰康颗粒,['倒卵叶']
复胃散胶囊,"['炙黄芪', '白芷', '白及', '海螵蛸', '白芍', '延胡索', '甘草', '辅料淀粉', '糊精']"
复脉定颗粒,"['黄芪', '党参', '远志', '川芎', '桑葚']"
便秘通,"['白术', '肉苁蓉', '枳壳']"
保儿宁颗粒,"['黄芪', '白术', '防风', '芦根', '鸡内金', '茯苓']"
养血荣筋丸,"['当归', '鸡血藤', '何首乌', '赤芍', '续断', '桑寄生', '铁丝威灵仙', '伸筋草', '透骨草', '油松', '补骨脂', '党参', '白术', '木香', '赤小豆']"
前列舒乐颗粒,"['淫羊藿', '黄芪', '蒲黄', '车前草', '川牛膝']"
洁康宁喷雾剂,"['黄柏', '黄连', '蛇床子', '薏苡仁', '土茯苓', '花椒']"
活血调经丸,"['熟地黄', '延胡索', '地黄', '川芎', '赤芍', '红花', '牡丹', '当归', '黄芩', '枳壳', '苏木', '茯苓', '灵脂', '炮姜', '香附', '阿胶', '砂仁']"
复方梨膏,"['梨清膏', '麻黄', '桔梗', '桑叶', '茯苓', '白及', '浙贝母', '瓜蒌仁', '白芍', '棕榈炭', '栀子', '南沙参', '款冬花', '紫苏叶', '枳壳', '白茅根', '法夏', '荷叶炭', '阿胶', '紫菀', '紫苏子', '前胡', '甘草', '百部', '白芥子', '玉竹', '天冬', '苦杏仁', '枇杷叶']"
骨折挫伤胶囊,"['猪骨', '黄瓜子', '红花', '大黄', '当归', '乳香', '血竭', '土鳖虫', '自然铜']"
复方川芎酊,"['当归', '川芎', '铁丝威灵仙', '乳香', '大黄', '续断', '杜仲', '延胡索', '桂枝', '细辛', '乌梅', '樟脑', '冰片']"
复方川芎胶囊,"['川芎', '当归']"
楂曲平胃合剂,"['山楂', '厚朴', '甘草', '神曲', '鸡内金', '苍术']"
蒲参胶囊,"['何首乌', '蒲黄', '丹参', '川芎', '赤芍', '山楂', '泽泻', '党参']"
颐和春胶囊,"['人参', '川牛膝', '狗肾', '锁阳', '鹿茸', '淫羊藿', '鹿鞭', '沙参', '冰片', '蛇床子', '熟地黄', '韭菜子', '覆盆子', '附子', '路路通']"
感速康胶囊,"['金银花', '对乙酰氨基酚', '大青叶', '马来酸氯苯那敏', '山豆根', '维生素c']"
克癀胶囊,"['麝香', '牛黄', '蛇胆汁', '郁金', '黄芩', '黄连', '黄柏']"
苏南山肚痛丸,"['白芍', '术香', '甘草', '乳香', '川楝子', '香附', '丹参', '血竭', '郁金']"
杜仲壮骨丸,"['杜仲', '白术', '乌梢蛇', '人参', '桑枝', '金铁锁', '木瓜', '狗骨胶', '细辛', '续断', '石楠藤', '川芎', '附片', '淫羊藿', '当归', '黄芪', '大血藤', '秦艽', '防风', '威灵仙', '独活', '豹骨', '寻骨风']"
通便宁片,"['番泻叶干膏粉', '牵牛子', '砂仁', '白豆蔻']"
通络活血丸,"['人工牛黄', '香附', '赤芍', '川芎', '冰片', '穿山甲', '龟板', '羌活', '血蝎', '天麻', '松香', '威灵仙', '肉桂', '安息香', '全蝎', '红花', '麻黄', '草豆蔻', '琥珀', '细辛', '甘草', '狗骨', '当归', '姜黄', '人参', '白附子', '白芷', '胆南星', '木香', '大黄', '竹香附', '茯苓', '黄苠', '首乌', '地龙', '丹参', '黄连', '熟地黄', '水牛角']"
抗栓再造丸,"['黄苠', '穿山龙', '桃仁', '草豆蔻', '红参', '丹参', '当归', '红花', '天麻', '穿山甲', '牛黄', '水蛭', '麝香', '地龙', '全蝎', '乌梢蛇', '土鳖虫', '苏合香', '葛根', '朱砂', '牛膝', '细辛', '甘草', '胆南星', '冰片', '大黄', '何首乌', '威灵仙味']"
妇洁舒洗液,"['苦参', '黄柏', '黄连', '黄苓', '土茯苓', '白藓', '蛇床子', '槟榔', '苦楝', '上荆', '白矾', '紫草', '细辛', '水杨酸']"
生乳片,"['猪鞭', '穿山甲', '王不留行', '党参', '熟地黄', '白芷', '路路通', '冬瓜子', '关木通', '丝瓜络', '漏芦']"
白芝颗粒,"['白芍', '灵芝', '蔗糖', '橘子香精']"
宁嗽丸,"['川贝母', '姜夏', '紫苏子', '石斛', '桔梗', '橘红', '苦杏仁', '薄荷', '茯苓', '谷芽', '桑白', '甘草']"
加味八珍益母膏,"['益母草', '人参', '红花', '川芍', '炮姜', '甘草', '泽兰', '当归', '赤芍', '香附', '茯苓', '桃仁', '熟地黄', '丹参', '白术']"
地奥心血康胶囊,['甾体总皂苷：黄山穿笼薯蓣根茎的提取物']
朴沉化郁丸,"['香附', '檀香', '柴胡', '沉香', '莪术', '延胡索', '木香', '厚朴', '高良姜', '甘草', '砂仁', '枳壳', '片姜黄', '丁香', '豆蔻', '肉桂']"
胃泰胶囊,"['寒水石', '诃子', '砂仁', '丹参', '高良姜', '香附', '檀香', '灵脂']"
胃肠复元膏,"['枳壳', '太子参', '大黄', '蒲公英', '木香', '莱菔子', '赤芍', '紫苏梗', '黄芪', '桃仁']"
珍母口服液,['本品为珍珠精卵液经工制成的口服液']
茵芪肝复颗粒,"['茵陈', '焦栀于', '大黄', '白花蛇舌草', '猪苓', '柴胡', '当归', '黄芪', '党参', '甘草']"
益宫颗粒,"['黄芪', '当归', '续断', '党参', '益母草', '丹参', '败酱草', '香附']"
消食十味胶囊,"['黑冰片', '白豆蔻', '牛胆膏', '连翅', '荜茇', '木鳖子', '石榴', '光明盐', '诃子', '肉桂']"
丹羚心舒胶囊,"['丹参', '羚羊角粉', '人参', '当归', '蟾酥', '猪胆膏', '冰片', '麝香']"
乌金片,"['蒲黄', '百草霜', '益母草', '熟地黄', '艾叶', '延胡索', '香附', '白芍', '补骨脂', '吴茱萸', '川芎', '莪术', '木香', '当归', '小茴香油']"
心安宁片,"['葛根', '山楂', '制何首乌', '珍珠粉']"
天王补心液,"['丹参', '党参', '麦冬', '玄参', '柏子仁', '当归', '茯苓', '天冬', '远志', '桔梗', '石菖蒲', '味子', '地黄', '酸枣仁', '甘草']"
小儿腹泻贴,"['丁香', '肉桂', '荜茇']"
小金丸,"['麝香', '木鳖子', '制草乌', '枫香脂', '乳香', '灵脂', '当归', '地龙', '香墨']"
口洁喷雾剂,"['金银花', '菊花', '板蓝根', '薄荷脑']"
山麦健脾口服液,"['山楂', '麦芽', '砂仁']"
三七片,[]
儿童回春颗粒,"['黄连', '水牛角浓缩粉', '羚羊角', '人中白', '淡豆豉', '大青叶', '荆芥', '羌活', '葛根', '地黄', '川木通', '赤芍', '黄芩', '前胡', '玄参', '桔梗', '柴胡', '西河柳', '牛蒡子']"
八宝眼药,"['珍珠', '硇砂', '石蟹', '冰片', '牛黄', '黄连干浸膏', '炉甘石', '硼砂']"
川贝清肺糖浆,"['枇杷叶', '苦杏仁', '川贝母', '麦冬', '地黄', '甘草', '桔梗', '薄荷']"
无敌丹胶囊,"['黄苠', '杜仲', '续断', '肉苁蓉', '苏术', '川芎', '淫羊藿', '怀牛膝', '骨碎补', '补骨脂', '熟地', '细辛', '桂枝', '血竭', '当归', '乳香', '羌活']"
牛黄清宫丸,"['牛黄', '麦冬', '黄芩', '莲子', '天花粉', '甘草', '大黄', '栀子', '地黄', '连翘', '郁金', '玄参', '雄黄', '犀角', '朱砂', '冰片', '金银花', '麝香']"
升血小板胶囊,"['青黛', '连翘', '仙鹤草', '牡丹', '甘草']"
化风丹,"['胆南星', '羌活', '独活', '防风', '天麻', '人参', '川芎', '荆芥', '粉草', '全蝎']"
风湿关节炎丸,"['马子', '麻黄', '当归', '苍术', '续断', '桃仁', '红花', '乳香', '千年健', '地枫', '羌活', '地龙', '桂枝', '穿山甲', '木瓜', '牛膝']"
心胃止痛胶囊,"['大果木姜子', '冰片']"
双黄连口服液,"['金银花', '黄芩', '连翘']"
玉枢散,"['麝香', '冰片', '朱砂', '雄黄', '千金子霜', '红大戟', '倍子', '山慈姑']"
益肺清化膏,"['黄芪', '党参', '甘草', '北沙参', '麦冬', '仙鹤草', '拳参', '败酱草', '白花蛇甘草', '川贝母', '紫菀', '桔梗', '苦杏仁']"
消络痛胶囊,"['芫花枝条', '绿豆']"
润肠胶囊,"['桃仁', '羌活', '大黄', '当归', '火麻仁']"
参茸蛤蚧保肾丸,"['红参', '当归', '山茱萸', '杜仲', '益智', '鹿茸', '熟地黄', '肉苁蓉', '远志', '茯苓', '补骨脂', '蛤蚧', '枸杞子', '巴戟天', '沉香', '白术']"
四季感冒片,"['桔梗', '紫苏叶', '荆芥', '大青叶', '连翘', '甘草', '香附', '防风']"
生化丸,"['当归', '川芎', '桃仁', '干姜', '甘草']"
外用应急软膏,"['黄芩', '白芍', '丹参', '补骨脂', '人参', '党参', '金银花', '茯苓', '益母草', '鱼腥草', '鸭跖草', '辛夷', '甘草', '青蒿', '樟脑']"
宁坤丸,"['益母草', '黄芩', '紫苏叶', '香附', '阿胶', '甘草', '当归', '党参', '白术', '牛膝', '白芍', '砂仁', '琥珀', '茯苓', '熟地黄', '地黄', '沉香', '川芎', '化橘红', '术香']"
加味藿香正气丸,"['广霍香', '紫苏叶', '白芷', '白术', '厚朴', '茯苓', '桔梗', '甘草', '大腹', '大枣', '生姜']"
皮敏消胶囊,"['苦参', '苍术', '防风', '荆芥', '蒺藜', '白藓', '蛇床子', '苍耳', '蜈蚣', '青黛', '蒲公英', '紫花地丁味']"
孕妇金花片,"['栀子', '白芍', '黄芩', '金银花', '川芎', '黄柏', '当归', '地黄', '黄连']"
地龙注射液,"['广地龙', '苯酚']"
地榆升白片,['地榆']
西瓜霜喷剂,"['西瓜霜', '硼砂', '黄柏', '黄连', '山豆根', '射干', '浙贝母', '青黛', '冰片', '无患子果', '大黄', '黄芩', '甘草', '薄荷脑']"
血必净注射液,"['红花', '赤芍', '川芎', '丹参', '当归']"
妇血安片,"['当归', '益母草', '女贞子', '墨旱莲']"
鹿茸参鞭酒,"['人参', '熟地黄', '小茴香', '黄芪', '巴戟天', '茯苓', '鹿茸', '枸杞子', '鹿鞭', '牛膝', '菟丝子', '肉苁蓉', '当归', '白芍', '白术', '广狗鞭']"
维血宁,"['白芍', '地黄', '虎杖', '鸡血藤', '墨早莲', '熟地黄', '太子参', '仙鹤草']"
绿梅止泻颗粒,"['山楂', '乌梅', '绿茶', '辅料为蔗糖', '糊精']"
清热除湿止泻合剂,['本品为夜香牛经工制成的合剂']
散寒药茶,"['高良姜', '丁香', '肉桂', '芹菜子', '荜茇', '草果', '小茴香', '欧缬草', '肉桂子', '小豆蔻', '洋茴香', '栀子']"
葛兰心宁软胺囊,"['葛根', '山楂', '绞股蓝']"
遗尿停胶囊,['文冠果子仁霜']
羚羊感冒胶囊,"['金银花', '连翘', '羚羊角', '牛蒡子', '荆芥', '淡豆豉', '桔梗', '淡竹叶', '薄荷素油', '甘草']"
清肝扶正胶囊,"['黄连', '蜂王浆冻干粉', '青黛', '味子', '大黄', '山豆根']"
健脾消食丸,"['白术', '草豆蔻', '荸荠粉', '枳实', '鸡内金', '木香', '槟榔']"
射麻口服液,"['麻黄', '射干', '苦杏仁', '桑白', '白前', '石膏', '胆南星', '黄芩', '莱菔子', '味子']"
爱活胆通,"['欧活血丹提取物', '葵花籽油']"
翁沥通胶囊,"['薏苡仁', '浙贝母', '川木通', '栀子', '金银花', '旋复花', '泽兰', '大黄', '铜绿', '甘草', '炙黄芪']"
脂可清胶囊,"['葶苈子', '黄芩', '茵陈蒿', '山楂', '泽泻', '大黄', '木香']"
脑栓通胶囊,"['蒲黄', '赤芍', '郁金', '天麻', '漏芦']"
冠心丸,"['丹参', '郁金', '山楂', '香附', '人参', '川芎']"
神曲胃痛胶囊,"['神曲茶', '大黄', '颠茄浸膏', '姜粉', '氢氧化铝', '碳酸氧钠']"
三号蛇胆川贝片,"['蛇胆', '黄连', '川贝母', '甘草', '法夏']"
小儿治哮灵片,"['地龙', '麻黄', '侧柏叶', '射干', '紫苏子', '黄芩', '北刘寄奴', '白藓', '苦参', '甘草', '细辛', '川贝母', '橘红', '僵蚕', '冰片']"
小儿宣肺止咳颗粒,"['麻黄', '竹叶', '防风', '西南黄芩', '桔梗', '芥子', '苦杏仁', '葶苈子', '马兰', '黄芪', '山楂', '甘草']"
五味沙棘散,"['沙棘膏', '木香', '白葡萄干', '甘草', '栀子']"
止泻颗粒,['珠芽蓼']
心速宁胶囊,"['黄连', '苦参', '青蒿', '常山', '枳实', '人参', '冬麦', '莲子', '茯苓', '甘草']"
双子参洗液,"['苦参', '黄柏', '地肤子', '蛇床子', '白矾', '花椒']"
清咳平喘颗粒,"['生石膏', '川贝母', '金荞麦', '鱼腥草', '麻黄', '苦杏仁', '矮地荼', '枇杷叶', '紫苏子', '甘草味']"
清眩治瘫丸,"['天麻', '蕲蛇', '倡蚕', '全蝎', '地龙', '铁丝威灵仙', '白附子', '决明子', '牛膝', '血竭', '丹参', '川芎', '赤芍', '玄参', '桑寄生', '葛根', '香附', '骨碎补', '槐米', '郁金', '沉香', '枳壳', '安息香', '人参', '白术', '麦冬', '茯苓', '黄连', '黄芩', '地黄', '泽泻', '法夏', '黄芪', '山楂', '水牛角浓缩粉', '牛黄', '珍珠', '冰片']"
八子补肾胶囊,"['菟丝子', '枸杞子', '味子', '蛇床子', '金樱子', '覆盆子', '韭菜子', '川楝子', '淫羊藿', '巴戟天', '肉苁蓉', '地黄', '川牛膝', '人参', '鹿茸', '海马']"
小儿麻甘颗粒,"['麻黄', '石膏', '苦杏仁', '紫苏子', '黄芩', '粟白', '地骨', '甘草']"
小儿康颗粒,"['太子参', '山楂', '葫芦茶', '槟榔', '麦芽', '榧子', '白芍', '白术', '茯苓', '乌梅', '蝉蜕']"
开胃山楂丸,"['山楂', '枳壳', '神曲', '白扁豆', '麦芽', '槟榔', '鸡内金', '砂仁']"
云芝菌胶囊,['本品为云芝菌培养物制成的胶壁']
五仁醇胶囊,['仁醇浸膏']
风热咳嗽丸,"['薄荷', '桑叶', '黄芩', '前胡', '菊花', '连翘', '桔梗', '甘草', '苦杏仁霜', '枇杷叶', '浙贝母薄荷', '桑叶', '黄芩', '前胡', '菊花', '连翘', '桔梗', '甘草', '苦杏仁霜', '枇杷叶', '浙贝母']"
丹灯通脑胶囊,"['丹参', '灯盏细辛', '川芎', '葛根']"
益寿强身膏,"['党参', '人参', '茯苓', '黄芪', '白术', '制何首乌', '当归', '熟地黄', '川芎', '泽泻', '牡丹', '牛膝', '白芍', '杜仲叶', '续断', '阿胶', '红花', '炙甘草', '黄精']"
白癜风胶囊,"['补骨脂', '黄芪', '红花', '川芎', '当归', '香附', '桃仁', '丹参', '乌梢蛇', '紫草', '白藓']"
乐孕宁颗粒,"['黄芪', '党参', '白术', '白芍', '当归', '补骨脂', '续断', '杜仲', '砂仁', '大枣']"
外用溃疡散,"['寒水石', '冰片', '麝香', '石决明', '雄黄', '朱砂', '银朱', '石决明', '冰片', '麝香']"
血脂平胶囊,"['刺梨', '徐长卿', '绞股蓝', '山楂']"
全鹿丸,"['全鹿干', '地黄', '楮实子', '补骨脂', '肉苁蓉', '甘草', '麦冬', '杜仲', '茯苓', '小茴香', '胡芦巴', '锁阳', '牛膝', '菟丝子', '枸杞子', '当归', '天冬', '白术', '芡实', '续断', '沉香', '党参', '熟地黄', '川芎', '巴戟天', '味子', '覆盆子', '花椒', '黄芪', '大青叶']"
冰珍去翳滴眼液,"['珍珠层粉水解液', '冰片', '葡萄糖酸锌', 'β-胡萝卜素', '维生素E']"
安络痛胶囊,"['本品为安络痛浸膏制成的胶囊剂', '每粒台安络痛浸膏m', '其有效成为安络小伞菌中提取的菌多糖']"
妇炎平栓,"['苦参', '珍珠层粉', '枯矾', '苦木', '蛇床子', '盐酸小檗碱', '薄荷脑', '冰片', '硼酸']"
香砂平胃颗粒,"['苍术', '甘草', '厚朴', '香附', '砂仁']"
复方消食颗粒,"['苍术', '白术', '神曲茶', '广山楂', '薏苡仁', '饿蚂蝗']"
养胃颗粒,"['黄芪', '党参', '白芍', '甘草', '香附', '乌梅']"
前列安通胶囊,"['黄柏', '赤芍', '丹参', '桃仁', '泽兰', '王不留行', '白芷']"
前列消胶囊,"['金樱子', '鹿茸', '白术', '大黄', '虎杖', '土茯苓', '苦参', '泽泻', '川小通', '薏苡仁', '蜈蚣']"
结核丸,"['紫石英', '地黄', '熟地黄', '天冬', '北沙参', '牡蛎', '阿胶', '龙骨', '麦冬', '蜂蜡', '熟大黄', '白及', '川贝母', '龟甲', '百部', '鳖甲']"
泰脂安胶囊,['女贞叶乙醇提取物']
秦川通痹片,"['秦艽', '川芎', '威灵仙', '桂枝', '独活', '术瓜', '炙黄芪', '干姜', '牛膝', '当归', '苍术', '甘草']"
珠芽蓼止泻颗粒,['珠芽蓼']
热毒清片,"['重楼', '南板蓝根', '冰片', '蒲公英', '甘草']"
莱阳梨止咳颗粒,"['莱阳梨清膏', '麻黄提取液', '杏仁水', '百合流浸膏', '远志流浸膏', '北沙参流浸膏', '薄荷脑']"
桂圆琼玉颗粒,"['桂圆', '茯苓', '地黄', '党参', '何首乌', '女贞子']"
桔梗冬花片,"['桔梗', '甘草', '款冬花', '远志']"
速效牛黄丸,"['牛黄', '水牛角浓缩粉', '朱砂', '雄黄', '黄连', '黄芩', '栀子', '郁金', '冰片', '石菖蒲', '珍珠母']"
脑得生胶囊,"['川芎', '红花', '葛根', '山楂']"
银翘解毒片,"['金银花', '连翘', '薄荷', '荆芥', '淡豆豉', '牛蒡子', '桔梗', '淡竹叶', '甘草']"
减味紫雪口服液,"['石膏', '滑石', '寒水石', '羚羊角', '水牛角', '麝香', '玄参', '甘草', '术香', '磁石', '沉香', '丁香', '硝石', '芒硝']"
痔炎消颗粒,"['火麻仁', '金银花', '枳壳', '紫珠叶', '地榆', '茅根', '槐花', '白芍', '茵陈']"
康莱特软胶囊,"['薏苡仁油', '甘油酯']"
鹿鞭补酒,"['鹿鞭', '淫羊藿', '狗肾', '驴肾', '沙苑子', '补骨脂', '何首乌', '味子', '黄芪', '菟丝子', '地黄', '枸杞子', '红花', '车前子', '海龙', '海马', '覆盆子']"
羚羊角注射液,['羚羊角']
清胃止痛微丸,"['黄连', '白芍', '地榆']"
颈复康颗粒,"['黄芪', '党参', '丹参', '白芍', '生地黄', '石决明', '威灵仙', '葛根', '黄柏', '秦艽', '王不留行', '川芎', '苍术', '羌活', '桃仁乳香', '红花', '地龙', '土鳖虫']"
维尔康胶囊,"['人参', '灵芝', '黄芪', '维生素A', '维生素E', '维生素c', '维生素B', '甲基橙甙']"
琥珀抱龙丸,"['琥珀', '朱砂', '天竺黄', '胆南星', '枳实', '枳壳', '茯苓', '红参', '檀香', '甘草']"
葛酮通络胶囊,['葛根']
葆宫止血颗粒,"['牡蛎', '白芍', '侧柏叶', '地黄', '金樱子', '柴胡', '仙鹤草', '大青叶']"
润喉药茶,"['陕清荼', '米兰花', '润喉散']"
宽中顺气丸,"['木香', '香附', '大黄', '牵牛子', '灵脂', '莪术', '黄芩', '滑石', '猪牙皂']"
参茯胶囊,"['全中华鳖粉', '人参', '地黄', '茯苓']"
艽龙胶囊,['秦艽的提取物']
益香当红膏,"['红参', '当归', '黄芪', '益母草', '川芎', '熟地黄', '牛膝', '香附', '续断', '白术', '砂仁', '阿胶', '泽兰', '炙甘草']"
冰黄软膏,"['大黄', '硫黄', '黄连', '冰片']"
安乐片,"['柴胡', '当归', '川芎', '茯苓', '钩藤', '首乌藤', '白术', '甘草']"
龙荟丸,"['龙胆', '大黄', '青黛', '芦荟', '栀子', '木香', '当归', '黄芩']"
归参补血片,"['羊睾丸浸膏', '当归', '猪脾脏浸膏粉', '枸杞子', '牛骨髓提取物', '红参', '何首乌', '牛鞭胶粉', '龙眼肉', '猪肝脏粉', '黄芪']"
平痔胶囊,['金丝梅鲜果']
四消丸,"['大黄', '猪芽皂', '牵牛子', '香附', '槟榔', '灵脂']"
生脉袋泡茶,"['人参', '麦冬', '味子']"
仙灵脾颗粒,['淫羊藿']
调胃丹,"['木香', '槟榔', '香附', '高良姜', '砂仁', '枳实', '豆蔻', '丁香', '甘草', '厚朴', '灵脂', '肉桂']"
通乐颗粒,"['何首乌', '地黄', '当归', '麦冬', '玄参', '枳壳']"
参茸鹿胎丸,"['红花', '当归', '杜仲', '人参', '鹿胎', '化橘红', '熟地黄', '丹参', '小茴香', '桃仁', '益母草', '川芎', '荆芥穗', '白芍', '香附', '莱菔子', '白术', '肉桂', '银柴胡', '泽泻', '槟榔', '厚朴', '神曲', '附子', '麦芽', '赤芍', '山楂', '延胡索', '苍术', '续断', '吴茱萸', '砂仁', '海螺蛸', '茯苓', '牡丹', '牛膝', '龟甲', '豆蔻', '木瓜', '术香', '沉香', '鹿茸', '甘草', '蜂蜜']"
益脂平胶囊,['黑木耳']
烧烫伤膏,"['獾油', '地榆', '大黄', '冰片', '蜂蜡', '虫白蜡', '茉莉香精', '无水羊毛脂', '白凡士林']"
消炎镇痛膏,"['薄荷脑', '盐酸苯海拉明', '麝香草脑', '樟脑', '冰片', '水杨酸甲酯', '颠茄漉浸膏']"
风湿祛痛胶囊,"['川黄柏', '苍术', '威灵仙', '鸡血藤', '蜂房', '乌梢蛇', '金白花蛇', '蕲蛇', '红花', '土鳖虫', '乳香', '全蝎', '蜈蚣', '地龙']"
丹参酮胶囊,"['本品为丹参经现代制药工艺技术提取的有效成', '其中主要有效成为隐丹参酮']"
天母降压片,"['天麻', '珍珠母', '钩藤', '菊花', '桑椹']"
大风丸,"['木耳', '牛膝', '杜仲', '当归', '木瓜', '苍术', '白芍', '桔梗', '独活']"
小儿化痰止咳颗粒,"['桔梗', '桑白', '吐根']"
丁桂温胃散,"['丁香', '肉桂']"
止痛透骨膏,"['急性子', '白芷', '藤黄', '威灵仙', '川芎', '蜂蜜']"
中风安口服液,"['水蛭', '黄芪']"
