名字,组成
清瘟解毒丸,"['葛根', '柴胡', '羌活', '白芷', '防风', '川芎', '黄芩', '大青叶', '牛蒡子', '连翘', '赤芍', '玄参', '天花粉', '桔梗', '淡竹叶', '甘草']"
参苏宣肺丸,"['前胡', '紫苏叶', '法夏', '人参', '茯苓', '桔梗', '枳壳', '木香', '甘草', '葛根']"
荆防败毒丸,"['防风', '荆芥', '赤茯苓', '羌活', '独活', '川芎', '柴胡', '薄荷', '前胡', '桔梗', '枳壳', '党参', '甘草']"
芎菊上清丸,"['羌活', '川芎', '白芷', '菊花', '连翘', '蔓荆子', '薄荷', '防风', '荆芥穗', '藁本', '黄芩', '黄连', '栀子', '桔梗', '甘草']"
卫生宝丸,"['柴胡', '黄芩', '玄参', '天花粉', '麦冬', '竹茹', '僵蚕', '荆芥穗', '薄荷', '桔梗', '紫苏叶', '苦杏仁', '神曲', '甘草', '朱砂粉', '羚羊角粉', '水牛角浓缩粉', '冰片', '雄黄粉']"
柴黄口服液,"['柴胡', '黄芩']"
柴胡注射液,"['柴胡', '经水蒸气蒸馏制成的灭菌水溶液']"
小柴胡汤丸,"['柴胡', '黄芩', '党参', '制夏', '甘草', '生姜', '大枣']"
少阳感冒颗粒,"['北柴胡', '青蒿', '黄芩', '生晒参', '生姜', '大枣', '甘草']"
金银花露,['金银花']
无极丸,"['甘草', '石膏', '滑石粉', '糯米', '薄荷脑', '冰片', '丁香', '砂仁', '白豆蔻', '肉桂', '牛黄', '人造香']"
青六散,['红曲']
梅苏丸,"['乌梅', '薄荷叶', '紫苏叶', '豆蔻', '葛根', '柿霜', '檀香']"
清凉防暑颗粒,"['白茅根', '芦根', '淡竹叶', '牛筋草', '滑石', '甘草']"
暑热感冒颗粒,"['香薷', '连翘', '菊花', '荷叶', '丝瓜络', '佩兰', '知母', '生石膏', '北沙参', '竹茹', '竹叶']"
周氏回生丸,"['檀香', '木香', '沉香', '公丁香', '麝香', '冰片', '雄黄', '山慈菇', '红大戟', '千金子霜', '神曲', '朱砂', '倍子', '甘草']"
庆余辟瘟丹,"['羚羊角', '香附', '大黄', '土藿香', '玄精石', '玄明粉', '朱砂', '木香', '川乌', '倍子', '苍术', '苏合香', '玳瑁', '雄黄', '黄连', '滑石', '猪牙皂', '厚朴', '肉桂', '郁金', '茯苓', '茜草', '金银花', '黄芩', '柴胡', '黄柏', '紫苏叶', '白芷', '天麻', '川芎', '草河车', '干姜', '丹参', '桔梗', '石菖蒲', '檀香', '蒲黄', '琥珀', '麻黄', '麝香', '安息香', '冰片', '细辛', '千金子霜', '丁香', '巴豆霜', '当归', '桃仁霜', '甘遂', '红大戟', '莪术', '槟榔', '胡椒', '葶苈子', '白芍', '禹粮石', '桑白', '山豆根', '毛慈菇', '鬼箭羽', '降香', '赤豆', '紫菀', '牛黄', '铜石龙子', '芫花', '蜈蚣', '斑蝥', '大枣', '水牛角浓缩粉', '雌黄']"
避瘟散,"['檀香', '零陵香', '白芷', '香排草', '姜黄', '玫瑰花', '甘松', '丁香', '木香', '人工麝香', '冰片', '朱砂', '薄荷脑']"
甘露消毒丸,"['藿香', '石菖蒲', '白豆蔻', '连翘', '黄芩', '木通', '滑石', '茵陈', '川贝母', '射干', '薄荷']"
莲花峰茶,"['枳实', '川木通', '甘草', '紫苏', '桔梗', '天花粉', '滑石', '小茴香', '茯苓', '广藿香', '槟榔', '香薷', '木瓜', '前胡', '桑叶', '桑白', '柴胡', '豆蔻', '鬼针草', '木香', '丁香', '山楂', '茵陈', '泽泻', '防风', '层塔', '白术', '白扁豆', '苍术', '大腹', '铁苋菜', '水龙', '车前子', '砂仁', '丁葵草', '厚朴', '麦芽', '桂枝', '稻芽', '荆芥', '爵床', '茶叶']"
祛暑丸,"['广藿香', '木瓜', '丁香', '檀香', '茯苓', '甘草', '紫苏叶', '香薷']"
藿香正气丸,"['广藿香', '紫苏叶', '白芷', '白术', '厚朴', '茯苓', '桔梗', '甘草', '大腹', '生姜', '大枣']"
维C银翘片,"['山银花', '连翘', '荆芥', '淡豆豉', '淡竹叶', '牛蒡子', '芦根', '桔梗', '甘草', '马来酸氯苯那敏', '对乙酰氨基酚', '维生素C', '薄荷素油']"
玉叶解毒颗粒,"['玉叶金花', '金银花', '菊花', '野菊花', '岗梅', '山芝麻', '积雪草']"
银翘伤风胶囊,"['山银花', '连翘', '牛蒡子', '桔梗', '芦根', '薄荷', '淡豆豉', '甘草', '淡竹叶', '荆芥', '人工牛黄']"
金青感冒颗粒,"['金银花', '大青叶', '板蓝根', '鱼腥草', '薄荷', '淡豆豉', '淡竹叶', '甘草']"
三金感冒片,"['薄荷油', '叉苦', '玉叶金花', '金盏银盘', '大头陈', '金沙藤', '倒扣草', '地胆头']"
羚翘解毒丸,"['羚羊角', '金银花', '连翘', '薄荷', '荆芥穗', '淡豆豉', '牛蒡子', '桔梗', '淡竹叶', '甘草']"
桑菊银翘散,"['桑叶', '菊花', '金银花', '连翘', '川贝母', '桔梗', '薄荷', '淡竹叶', '荆芥', '牛蒡子', '苦杏仁', '芦根', '蝉蜕', '僵蚕', '滑石', '绿豆', '淡豆豉', '甘草']"
表虚感冒颗粒,"['桂枝', '白芍', '生姜', '大枣', '葛根', '苦杏仁']"
桑菊感冒颗粒,"['桑叶', '菊花', '薄荷油', '苦杏仁', '桔梗', '连翘', '芦根', '甘草']"
调胃消滞丸,"['厚朴', '羌活', '广东神曲', '枳壳', '香附', '防风', '前胡', '川芎', '白芷', '薄荷', '砂仁', '草果', '木香', '豆蔻', '茯苓', '苍术', '广藿香', '甘草', '紫苏叶']"
榄葱茶,"['青果', '紫苏叶', '生姜', '葱头']"
风寒感冒颗粒,"['麻黄', '葛根', '紫苏叶', '防风', '桂枝', '白芷', '苦杏仁', '桔梗', '甘草', '干姜']"
伤风停胶囊,"['麻黄', '荆芥', '白芷', '苍术', '甘草']"
解表追风丸,"['荆芥', '防风', '紫苏叶', '白芷', '香附', '细辛', '荜茇', '广藿香', '冰片', '柴胡', '雄黄', '砂仁', '薄荷', '丁香', '豆蔻', '独活', '甘草', '川芎', '天花粉', '朱砂', '天麻', '檀香']"
九味羌活丸,"['羌活', '防风', '苍术', '细辛', '川芎', '白芷', '黄芩', '地黄', '甘草']"
桂枝颗粒,"['桂枝', '白芍', '生姜', '大枣', '甘草']"
表实感冒颗粒,"['麻黄', '紫苏叶', '葛根', '防风', '白芷', '桂枝', '桔梗', '杏仁', '生姜', '甘草']"
银翘解毒丸,"['金银花', '连翘', '薄荷', '荆芥穗', '淡豆豉', '牛蒡子', '桔梗', '淡竹叶', '甘草']"
暑湿感冒颗粒,"['广藿香', '佩兰', '香薷', '紫苏叶', '白芷', '防风', '杏仁', '茯苓', '大腹']"
金胆片,"['龙胆', '金草', '虎杖', '猪胆膏']"
胆乐胶囊,"['猪胆汁', '连草', '郁金', '南山楂']"
利胆止痛片,"['茵陈', '板蓝根', '蒲公英', '柴胡', '川楝子', '枳壳', '苍术', '赤芍', '甘草', '姜黄', '仙鹤草', '延胡索']"
金龙舒胆颗粒,"['金草', '龙胆草', '柴胡', '黄芩', '大黄', '滑石', '莪术']"
二十五味松石丸,"['松石', '珍珠', '珊瑚', '朱砂', '诃子', '铁屑', '余甘子', '灵脂膏', '檀香', '降香', '木香马兜铃', '鸭嘴花', '牛黄', '广木香', '绿绒蒿', '船形乌头', '肉豆蔻', '丁香', '伞梗虎耳草', '毛诃子', '天竺黄', '西红花', '木棉花', '麝香', '石灰华']"
一清胶囊,"['黄连', '大黄', '黄芩']"
二丁颗粒,"['紫花地丁', '板蓝根', '蒲公英', '边莲']"
新癀片,"['肿风', '红曲', '人工牛黄', '珍珠层粉', '肖梵天花', '水牛角浓缩粉', '猪胆汁膏', '吲哚美辛']"
金莲清热颗粒,"['金莲花', '大青叶', '生石膏', '生地黄', '玄参', '知母', '苦杏仁']"
玉屏风丸,"['黄芪', '白术', '防风']"
参苏感冒片,"['党参', '紫苏叶', '葛根', '前胡', '茯苓', '甘草', '桔梗', '枳壳', '麦冬', '桑白']"
柴连口服液,"['麻黄', '柴胡', '广藿香', '肉桂', '连翘', '桔梗']"
温六散,"['滑石', '干姜', '甘草']"
香苏调胃片,"['广藿香', '香薷', '木香', '紫苏叶', '厚朴', '砂仁', '枳壳', '茯苓', '山楂', '麦芽', '白扁豆', '葛根', '甘草', '神曲', '生姜']"
四正丸,"['藿香', '茯苓', '白芷', '紫苏叶', '法夏', '枳壳', '木瓜', '厚朴', '大腹', '白扁豆', '神曲', '桔梗', '香薷', '山楂', '麦芽', '甘草', '白术', '槟榔', '檀香']"
银柴合剂,"['忍冬藤', '柴胡', '薄荷', '芦根', '枇杷叶']"
风热感冒颗粒,"['板蓝根', '连翘', '桑叶', '菊花', '荆芥穗', '薄荷', '牛蒡子', '杏仁', '芦根', '桑枝', '神曲']"
荆防颗粒,"['荆芥', '防风', '羌活', '独活', '柴胡', '前胡', '川芎', '枳壳', '茯苓', '桔梗', '甘草']"
感冒软胶囊,"['麻黄', '桂枝', '羌活', '荆芥穗', '防风', '白芷', '川芎', '石菖蒲', '葛根', '薄荷', '当归', '苦杏仁', '黄芩', '桔梗']"
六味地黄丸,"['熟地黄', '山茱萸', '牡丹', '茯苓', '泽泻']"
二陈合剂,"['甘草', '生姜', '茯苓']"
二夏清心片,"['冬虫夏草', '竹茹', '枳实', '茯苓', '石菖蒲', '葛根', '干姜', '炙甘草']"
二天油,"['薄荷脑', '薄荷油', '冰片']"
二仙口服液,"['人参', '枸杞子', '鹿角胶', '龟板胶', '牛鞭', '黄芪', '熟地黄', '何首乌', '味子', '沙苑子', '牛膝', '核桃仁', '黑芝麻', '远志', '丹参']"
二十味沉香丸,"['沉香', '丁香', '木瓜', '肉豆蔻', '红花', '广枣', '藏木香', '石灰华', '鹿角', '乳香', '珍珠母', '木香', '马子', '诃子', '短穗兔耳草', '木棉花', '余甘子', '降香', '牛黄']"
乙肝清热解毒颗粒,"['虎杖', '白花蛇舌草', '土茯苓', '茵陈', '茜草', '橘红', '甘草']"
乙肝舒康片,"['叶下珠', '白花蛇舌草', '虎杖', '丹参', '黄芪', '何首乌']"
乙肝灵丸,"['大黄', '白芍', '茵陈', '柴胡', '贯众', '人参', '黄芪', '甘草']"
一捻金,"['大黄', '牵牛子', '槟榔', '人参', '朱砂']"
治湿平胃丸,"['苍术', '厚朴', '甘草']"
止咳丸,"['川贝母', '罂粟壳', '防风', '桔梗', '葶苈子', '紫苏子', '法夏', '麻黄', '白前', '前胡', '紫苏叶', '厚朴', '白果', '桑叶', '黄芩', '硼砂', '南沙参', '薄荷', '枳壳', '茯苓', '甘草']"
止嗽定喘口服液,"['麻黄', '苦杏仁', '甘草', '石膏']"
枳术丸,"['枳实', '白术']"
止咳平喘糖浆,"['麻黄', '苦杏仁', '石膏', '水夏', '茯苓', '桑白', '罗汉果', '鱼腥草', '甘草', '薄荷油']"
镇痫片,"['牛黄', '朱砂', '石菖蒲', '广郁金', '胆南星', '红参', '甘草', '珍珠母', '莲子', '麦冬', '酸枣仁', '远志', '茯苓']"
止咳橘红口服液,"['化橘红', '法夏', '茯苓', '款冬花', '甘草', '瓜蒌', '紫菀', '麦冬', '知母', '桔梗', '地黄', '石膏', '苦杏仁', '紫苏子']"
脏连丸,"['黄连', '黄芩', '地黄', '赤芍', '当归', '槐角', '槐花', '荆芥穗', '地榆炭', '阿胶']"
枣仁安神颗粒,"['酸枣仁', '丹参', '味子']"
紫金锭,"['山慈菇', '红大戟', '千金子霜', '倍子', '麝香', '朱砂', '雄黄']"
壮腰健肾丸,"['狗脊', '金樱子', '黑老虎根', '桑寄生', '鸡血藤', '千拔', '牛大力', '菟丝子', '女贞子']"
紫雪,"['石膏', '北寒水石', '滑石', '磁石', '玄参', '木香', '沉香', '甘草', '丁香', '芒硝', '硝石', '水牛角浓缩粉', '羚羊角', '麝香', '朱砂']"
再造丸,"['蕲蛇肉', '全蝎', '地龙', '僵蚕', '穿山甲', '豹骨', '麝香', '水牛角浓缩粉', '人工牛黄', '龟甲', '朱砂', '天麻', '防风', '羌活', '白芷', '川芎', '葛根', '麻黄', '肉桂', '细辛', '附子', '油松', '桑寄生', '骨碎补', '威灵仙', '粉萆薢', '当归', '赤芍', '片姜黄', '血竭', '乳香', '人参', '黄芪', '白术', '茯苓', '甘草', '天竺黄', '制何首乌', '熟地黄', '玄参', '黄连', '大黄', '化橘红', '沉香', '檀香', '广藿香', '母丁香', '冰片', '豆蔻', '草豆蔻', '香附', '头尖', '建曲', '红曲']"
养血安神片,"['仙鹤草', '墨旱莲', '鸡血藤', '熟地黄', '地黄', '合欢', '首乌藤']"
医痫丸,"['生白附子', '天南星', '猪牙皂', '僵蚕', '乌梢蛇', '蜈蚣', '全蝎', '白矾', '雄黄', '朱砂']"
云南白药气雾剂,['重楼']
枳实导滞丸,"['枳实', '大黄', '黄连', '黄芩', '神曲', '白术', '茯苓', '泽泻']"
养阴清肺膏,"['地黄', '麦冬', '玄参', '川贝母', '白芍', '牡丹', '薄荷', '甘草']"
万氏牛黄清心丸,"['牛黄', '朱砂', '黄连', '黄芩', '栀子', '郁金']"
杏仁止咳糖浆,"['杏仁水', '百部流浸膏', '远志流浸膏', '陈流浸膏', '桔梗流浸膏', '甘草流浸膏']"
伤湿止痛膏,"['伤湿止痛流浸膏', '水杨酸甲酯', '薄荷脑', '冰片', '樟脑', '芸香浸膏', '颠茄流浸膏']"
乌梅丸,"['乌梅肉', '花椒', '细辛', '黄连', '黄柏', '干姜', '附子', '桂枝', '人参', '当归', '蜂蜜']"
三金片,[]
香砂养胃丸,"['木香', '砂仁', '白术', '茯苓', '香附', '枳实', '豆蔻', '厚朴', '广藿香', '甘草']"
五苓散,"['茯苓', '泽泻', '猪苓', '肉桂', '白术']"
如意金黄散,"['姜黄', '大黄', '黄柏', '苍术', '厚朴', '甘草', '生天南星', '白芷', '天花粉']"
全天麻胶囊,['天麻']
